phase,iteration,route,url,http_code,ttfb,total,size_download,effective_url
"first_after_cr",1,"/","https://carlsonschool.ddev.site/",200,4.099563,4.103642,331756,https://carlsonschool.ddev.site/
"first_after_cr",1,"/executive-education/courses","https://carlsonschool.ddev.site/executive-education/courses",200,3.054056,3.059154,340244,https://carlsonschool.ddev.site/executive-education/courses
"first_after_cr",1,"/graduate/mba/full-time","https://carlsonschool.ddev.site/graduate/mba/full-time",200,3.038596,3.048127,428277,https://carlsonschool.ddev.site/graduate/mba/full-time
"first_after_cr",1,"/graduate","https://carlsonschool.ddev.site/graduate",200,2.754013,2.764919,405550,https://carlsonschool.ddev.site/graduate
"first_after_cr",1,"/news","https://carlsonschool.ddev.site/news",200,3.054094,3.060492,311392,https://carlsonschool.ddev.site/news
"first_after_cr",1,"/faculty-research/directory-tenured-tenure-track","https://carlsonschool.ddev.site/faculty-research/directory-tenured-tenure-track",200,2.506502,2.513495,322568,https://carlsonschool.ddev.site/faculty-research/directory-tenured-tenure-track
"first_after_cr",1,"/alumni/events","https://carlsonschool.ddev.site/alumni/events",200,2.388007,2.396147,320894,https://carlsonschool.ddev.site/alumni/events
"first_after_cr",1,"/executive-education","https://carlsonschool.ddev.site/executive-education",200,2.379502,2.385282,320251,https://carlsonschool.ddev.site/executive-education
"first_after_cr",1,"/executive-education/courses/emerging-leaders-bootcamp","https://carlsonschool.ddev.site/executive-education/courses/emerging-leaders-bootcamp",200,2.486792,2.558774,362877,https://carlsonschool.ddev.site/executive-education/courses/emerging-leaders-bootcamp
"first_after_cr",1,"/graduate/resources/what-value-mba-or-masters-degree","https://carlsonschool.ddev.site/graduate/resources/what-value-mba-or-masters-degree",200,0.429154,0.435498,327655,https://carlsonschool.ddev.site/graduate/resources/what-value-mba-or-masters-degree
"first_after_cr",1,"/about","https://carlsonschool.ddev.site/about",200,2.036990,2.043388,325662,https://carlsonschool.ddev.site/about
"first_after_cr",1,"/faculty/bella-yeolim-yoon","https://carlsonschool.ddev.site/faculty/bella-yeolim-yoon",200,0.261556,0.266894,302156,https://carlsonschool.ddev.site/faculty/bella-yeolim-yoon
"first_after_cr",1,"/faculty-research/gary-s-holmes-center-entrepreneurship/blog/broshar","https://carlsonschool.ddev.site/faculty-research/gary-s-holmes-center-entrepreneurship/blog/broshar",200,0.245944,0.250803,304276,https://carlsonschool.ddev.site/faculty-research/gary-s-holmes-center-entrepreneurship/blog/broshar
"first_after_cr",1,"/person/richele-butler","https://carlsonschool.ddev.site/person/richele-butler",200,0.207626,0.213784,293573,https://carlsonschool.ddev.site/person/richele-butler
"first_after_cr",1,"/node/107586","https://carlsonschool.ddev.site/node/107586",200,0.440632,0.446855,289595,https://carlsonschool.ddev.site/node/107586
"first_after_cr",1,"/events/20260508-finance-seminar-alexandre-corhay-university-toronto","https://carlsonschool.ddev.site/events/20260508-finance-seminar-alexandre-corhay-university-toronto",200,0.240977,0.248487,300359,https://carlsonschool.ddev.site/events/20260508-finance-seminar-alexandre-corhay-university-toronto
