label,path,http_code,request_total_s,request_ttfb_s,query_count,query_total_s,max_query_s,request_rows_examined,request_rows_sent,rank,group_count,group_total_s,group_max_s,group_rows_examined,group_rows_sent,normalized_sql,example_sql,url
graduate landing page,/graduate,200,0.936833,0.929517,513,0.124175,0.006247,5675,1655,1,43,0.013999,0.002783,3,3,"SELECT DISTINCT ""d"".""plugin_id"" AS ""plugin_id"" FROM ""group_relationship_field_data"" ""d"" WHERE (""entity_id"" = '?') AND (""plugin_id"" IN ('?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?'));","SELECT DISTINCT ""d"".""plugin_id"" AS ""plugin_id"" FROM ""group_relationship_field_data"" ""d"" WHERE (""entity_id"" = '114676') AND (""plugin_id"" IN ('group_node:alumni_default_page', 'group_node:alumni_landing_page', 'group_node:blog_entry', 'group_node:conference', 'group_node:curriculum_plan', 'group_node:education_abroad_program', 'group_node:email_page', 'group_node:event', 'group_node:executive_ed_landing_page', 'group_node:executive_ed_program', 'group_node:faces', 'group_node:faculty_profile', 'group_node:front_page', 'group_node:landing_page', 'group_node:magazine', 'group_node:news', 'group_node:news_landing', 'group_node:page', 'group_node:person', 'group_node:quiz', 'group_node:session', 'group_node:student', 'group_node:video', 'group_node:webform'));",https://carlsonschool.ddev.site/graduate?csm219_sql_profile=graduate-landing-page-1778516920023
graduate landing page,/graduate,200,0.936833,0.929517,513,0.124175,0.006247,5675,1655,2,70,0.012512,0.001443,70,70,"SELECT ""cid"", ""data"", ""created"", ""expire"", ""serialized"", ""tags"", ""checksum"" FROM ""cache_discovery"" WHERE ""cid"" IN ( '?' ) ORDER BY ""cid"";","SELECT ""cid"", ""data"", ""created"", ""expire"", ""serialized"", ""tags"", ""checksum"" FROM ""cache_discovery"" WHERE ""cid"" IN ( 'last_write_timestamp_cache_discovery' ) ORDER BY ""cid"";",https://carlsonschool.ddev.site/graduate?csm219_sql_profile=graduate-landing-page-1778516920023
graduate landing page,/graduate,200,0.936833,0.929517,513,0.124175,0.006247,5675,1655,3,113,0.011071,0.000408,113,113,"SELECT ""cid"", ""data"", ""created"", ""expire"", ""serialized"", ""tags"", ""checksum"" FROM ""cache_config"" WHERE ""cid"" IN ( '?' ) ORDER BY ""cid"";","SELECT ""cid"", ""data"", ""created"", ""expire"", ""serialized"", ""tags"", ""checksum"" FROM ""cache_config"" WHERE ""cid"" IN ( 'last_write_timestamp_cache_config' ) ORDER BY ""cid"";",https://carlsonschool.ddev.site/graduate?csm219_sql_profile=graduate-landing-page-1778516920023
graduate landing page,/graduate,200,0.936833,0.929517,513,0.124175,0.006247,5675,1655,4,12,0.008909,0.000865,2172,153,"SELECT ""menu_tree"".""id"" AS ""id"" FROM ""menu_tree"" ""menu_tree"" WHERE (""menu_name"" = '?') AND (""expanded"" = '?') AND (""has_children"" = '?') AND (""enabled"" = '?') AND (""parent"" IN ('?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?'","SELECT ""menu_tree"".""id"" AS ""id"" FROM ""menu_tree"" ""menu_tree"" WHERE (""menu_name"" = 'main') AND (""expanded"" = '1') AND (""has_children"" = '1') AND (""enabled"" = '1') AND (""parent"" IN ('menu_link_content:a28371bf-b490-4992-ae3e-12c0cafee0b6', '', 'menu_link_content:e67f7942-af57-4733-b9bf-2ca06bba282d', 'menu_link_content:f3df6206-69c7-499a-873d-3e42357fc6c8', 'menu_link_content:0fefbfb9-5592-4ee7-8c69-572a5905f025', 'menu_link_content:e240e90f-86a2-4fa3-b160-07b759f2ef41', 'menu_link_content:0f171712-dfaa-42d0-8e50-c3ee782f1e1e', 'menu_link_content:e0ef3bcb-6ea4-4d7d-a84d-3e42174ad39c', 'menu_link_content:22873e72-8383-483d-98f6-454aee87d7e5', 'menu_link_content:8f9be8c2-31c0-4bb4-b63c-7d6a535fbba0', 'menu_link_content:564f220c-88a4-450c-b843-49a17154beec', 'menu_link_content:7e93475c-94e2-4ded-9cbe-7b59fd557d09', 'menu_link_content:427bddd6-d17e-46a9-80bd-44eda5d6548f', 'menu_link_content:8e1363c8-8934-4b9c-bf25-5f9e28d8620b', 'menu_link_content:e74f4b5c-58a5-46ca-ab8d-7e019da09d7e', 'menu_link_content:d6f26b2f-62a5-4688-9e80-47aa7735fcb4', 'menu_link_content:5043bf32-3730-4517-9767-ab1d8e268ff7', 'menu_link_content:e8baee81-95a9-40f5-a596-389a245d5e6b', 'menu_link_content:d94618ed-f065-4127-9b4d-2dad7cfbadcd', 'menu_link_content:f7fe1093-c641-48fe-9934-217cc668196a', 'menu_link_content:a1183981-9836-4dc0-a6fd-309b6398baac', 'menu_link_content:f5a7dcd1-20f1-4386-b0df-1a13a539da04', 'menu_link_content:ac3ca351-907b-433c-a34a-82bd8db870f7', 'menu_link_content:f892785a-44b0-4352-98ad-3e1a75dcd80b', 'menu_link_content:179d03b6-6c8b-48e4-ae98-47e9b3974e5f', 'menu_link_content:9c88f429-8ba4-4918-aa96-68769f0e9162', 'menu_link_content:6f1c8c0d-1b03-45f4-9411-0ffdd18fc366', 'menu_link_content:18fa0033-06af-4af0-b6e1-79faa6982d7e', 'menu_link_content:1da5b050-158a-4793-b22d-44d9333de04f', 'menu_link_content:4147f59a-a2f0-41d8-96da-180306e15264', 'menu_link_content:f7226acd-bf3d-46b8-8480-29b9199b22b5', 'menu_link_content:d537b518-2031-4f04-a007-1516308d27ba', 'menu_link_content",https://carlsonschool.ddev.site/graduate?csm219_sql_profile=graduate-landing-page-1778516920023
graduate landing page,/graduate,200,0.936833,0.929517,513,0.124175,0.006247,5675,1655,5,1,0.006247,0.006247,0,0,"INSERT INTO ""cache_page"" (""cid"", ""expire"", ""created"", ""tags"", ""checksum"", ""data"", ""serialized"") VALUES ('?', '?', '?', '?', '?', '?', '?') ON DUPLICATE KEY UPDATE ""cid"" = VALUES(""cid""), ""expire"" = VALUES(""expire""), ""created"" = VALUES(""created""), ""tags"" = VALUES(""tags""), ""checksum"" = VALUES(""checksum""), ""data"" = VALUES(""data""), ""serialized"" = VALUES(""serialized"");","INSERT INTO ""cache_page"" (""cid"", ""expire"", ""created"", ""tags"", ""checksum"", ""data"", ""serialized"") VALUES ('https://carlsonschool.ddev.site/graduate?csm219_sql_profile=graduate-landing-page-1778516920023:', '-1', '1778516920.956', 'CACHE_MISS_IF_UNCACHEABLE_HTTP_METHOD:form block_content:491 block_content:496 block_content:501 block_content:506 block_content:511 block_content:516 block_content:521 block_content:526 block_content:531 block_content:536 block_content:541 block_content:546 block_content:551 block_content:556 block_content:561 block_content:566 block_content:571 block_content:576 block_content:581 block_content:586 block_content:6 block_content:701 block_content:706 block_content:711 block_content:811 block_content_view block_view block_view:block_content block_view:block_content:f5a07526-19ce-4d07-882e-c6884406d228 block_view:help_block block_view:local_actions_block block_view:local_tasks_block block_view:menu_block block_view:menu_block:footer-second block_view:menu_block:main block_view:page_title_block block_view:responsive_menu_toggle block_view:system_branding_block block_view:system_breadcrumb_block block_view:system_main_block block_view:system_menu_block block_view:system_menu_block:footer block_visibility_group:blogs block_visibility_group:cta_mili block_visibility_group:cta_phd block_visibility_group:cta_undergrad block_visibility_group:education_abroad block_visibility_group:executive_education block_visibility_group:faculty_finder block_visibility_group:news_and_events block_visibility_group:related_news_events block_visibility_group:sidebar_ctas block_visibility_group:sidebar_navs block_visibility_group:student_ambassadors config:block.block.carlson_refresh_2023mainnav config:block.block.carlson_refresh_2023mainnav_2 config:block.block.carlson_refresh_about config:block.block.carlson_refresh_about_2 config:block.block.carlson_refresh_academicdegreesmastersandphd config:block.block.carlson_refresh_academicdegreesmba config:block.block.carlson_",https://carlsonschool.ddev.site/graduate?csm219_sql_profile=graduate-landing-page-1778516920023
graduate landing page,/graduate,200,0.936833,0.929517,513,0.124175,0.006247,5675,1655,6,3,0.005571,0.004765,543,27,"SELECT ""menu_tree"".""id"" AS ""id"" FROM ""menu_tree"" ""menu_tree"" WHERE (""menu_name"" = '?') AND (""expanded"" = '?') AND (""has_children"" = '?') AND (""enabled"" = '?') AND (""parent"" IN ('?', '?')) AND (""id"" NOT IN ('?', '?'));","SELECT ""menu_tree"".""id"" AS ""id"" FROM ""menu_tree"" ""menu_tree"" WHERE (""menu_name"" = 'main') AND (""expanded"" = '1') AND (""has_children"" = '1') AND (""enabled"" = '1') AND (""parent"" IN ('menu_link_content:a28371bf-b490-4992-ae3e-12c0cafee0b6', '')) AND (""id"" NOT IN ('menu_link_content:a28371bf-b490-4992-ae3e-12c0cafee0b6', ''));",https://carlsonschool.ddev.site/graduate?csm219_sql_profile=graduate-landing-page-1778516920023
graduate landing page,/graduate,200,0.936833,0.929517,513,0.124175,0.006247,5675,1655,7,76,0.004516,0.000481,73,73,"SELECT ""cid"", ""data"", ""created"", ""expire"", ""serialized"", ""tags"", ""checksum"" FROM ""cache_render"" WHERE ""cid"" IN ( '?' ) ORDER BY ""cid"";","SELECT ""cid"", ""data"", ""created"", ""expire"", ""serialized"", ""tags"", ""checksum"" FROM ""cache_render"" WHERE ""cid"" IN ( 'view:program_filter:display:page_1:[languages:language_interface]=en:[theme]=carlson_refresh:[user.permissions]=a39ef526a3061ee3466fae74f851d9eda2189467db8646899c82b3d7b13d1a17' ) ORDER BY ""cid"";",https://carlsonschool.ddev.site/graduate?csm219_sql_profile=graduate-landing-page-1778516920023
graduate landing page,/graduate,200,0.936833,0.929517,513,0.124175,0.006247,5675,1655,8,2,0.004454,0.002801,0,0,"INSERT INTO ""cache_render"" (""cid"", ""expire"", ""created"", ""tags"", ""checksum"", ""data"", ""serialized"") VALUES ('?', '?', '?', '?', '?', '?', '?') ON DUPLICATE KEY UPDATE ""cid"" = VALUES(""cid""), ""expire"" = VALUES(""expire""), ""created"" = VALUES(""created""), ""tags"" = VALUES(""tags""), ""checksum"" = VALUES(""checksum""), ""data"" = VALUES(""data""), ""serialized"" = VALUES(""serialized"");","INSERT INTO ""cache_render"" (""cid"", ""expire"", ""created"", ""tags"", ""checksum"", ""data"", ""serialized"") VALUES ('view:program_filter:display:page_1:[languages:language_content]=en:[languages:language_interface]=en:[route.name.is_layout_builder_ui]=is_layout_builder_ui.1:[theme]=carlson_refresh:[url]=https://carlsonschool.ddA0fiNQfG58SYMm5gPv-tyAEjbDiP5MK-yGr-hyHUH1o', '-1', '1778516920.64', 'CACHE_MISS_IF_UNCACHEABLE_HTTP_METHOD:form config:filter.format.rich_text config:honeypot.settings config:views.view.program_filter rendered taxonomy_term:10126 taxonomy_term:10131 taxonomy_term:10136 taxonomy_term:10141 taxonomy_term:10146 taxonomy_term:10151 taxonomy_term:10156 taxonomy_term:10161 taxonomy_term:10166 taxonomy_term:10171 taxonomy_term:10176 taxonomy_term:10181 taxonomy_term:15481 taxonomy_term:15491 taxonomy_term:15496 taxonomy_term:15501 taxonomy_term:15506 taxonomy_term:15511 taxonomy_term:15516 taxonomy_term:15521 taxonomy_term:15526 taxonomy_term:15531 taxonomy_term:15536 taxonomy_term:15541 taxonomy_term:15546 taxonomy_term:15551 taxonomy_term:15556 taxonomy_term:15561 taxonomy_term:15566 taxonomy_term:15571 taxonomy_term:15576 taxonomy_term:15581 taxonomy_term:15586 taxonomy_term:15591 taxonomy_term:15596 taxonomy_term:15601 taxonomy_term:15606 taxonomy_term:15611 taxonomy_term:15646 taxonomy_term:16116 taxonomy_term:16131 taxonomy_term:16226 taxonomy_term:16691 taxonomy_term:17136 taxonomy_term_list:quiz_result_set taxonomy_term_view', '0', 'a:3:{s:7:\""#markup\"";O:25:\""Drupal\\Core\\Render\\Markup\"":1:{s:9:\""\0*\0string\"";s:106975:\""\n\n<div class=\""js-view-dom-id-65fbc0519a11897d6c36d5b3847f0bd1748aac4834e48d4122206989992c4bcf row program-filter\"">\n\n  <div class=\""sticky-sidebar col-12 col-md-4 col-lg-3\"">\n        <div class=\""sticky-menu row program-filter__filter my-3\"">\n      <div class=\""col-12\"">\n        \n<form class=\""views-exposed-form bef-exposed-form\"" data-drupal-selector=\""views-exposed-form-program-filter-page-1\"" action=\""/graduate\"" method",https://carlsonschool.ddev.site/graduate?csm219_sql_profile=graduate-landing-page-1778516920023
graduate landing page,/graduate,200,0.936833,0.929517,513,0.124175,0.006247,5675,1655,9,1,0.003981,0.003981,0,0,"INSERT INTO ""cache_dynamic_page_cache"" (""cid"", ""expire"", ""created"", ""tags"", ""checksum"", ""data"", ""serialized"") VALUES ('?', '?', '?', '?', '?', '?', '?') ON DUPLICATE KEY UPDATE ""cid"" = VALUES(""cid""), ""expire"" = VALUES(""expire""), ""created"" = VALUES(""created""), ""tags"" = VALUES(""tags""), ""checksum"" = VALUES(""checksum""), ""data"" = VALUES(""data""), ""serialized"" = VALUES(""serialized"");","INSERT INTO ""cache_dynamic_page_cache"" (""cid"", ""expire"", ""created"", ""tags"", ""checksum"", ""data"", ""serialized"") VALUES ('response:[languages:language_content]=en:[languages:language_interface]=en:[request_format]=html:[route]=view.program_filter.page_1fc3cc94b31b181072209d2a0e216e2bb4ac04ab1b8e83c354434f8caabc459e4:[theme]=carlson_XUBBcZOrYq2oBpdi43bpkcqmPWBj5ikVazvo_vB2L-U', '-1', '1778516920.92', 'CACHE_MISS_IF_UNCACHEABLE_HTTP_METHOD:form block_content:6 block_view block_view:help_block block_view:page_title_block block_view:responsive_menu_toggle block_view:system_branding_block block_view:system_main_block block_visibility_group:blogs block_visibility_group:cta_mili block_visibility_group:cta_phd block_visibility_group:cta_undergrad block_visibility_group:education_abroad block_visibility_group:executive_education block_visibility_group:faculty_finder block_visibility_group:news_and_events block_visibility_group:related_news_events block_visibility_group:sidebar_ctas block_visibility_group:sidebar_navs block_visibility_group:student_ambassadors config:block.block.carlson_refresh_2023mainnav config:block.block.carlson_refresh_2023mainnav_2 config:block.block.carlson_refresh_about config:block.block.carlson_refresh_about_2 config:block.block.carlson_refresh_academicdegreesmastersandphd config:block.block.carlson_refresh_academicdegreesmba config:block.block.carlson_refresh_academicdegreesundergraduate config:block.block.carlson_refresh_account_menu config:block.block.carlson_refresh_branding config:block.block.carlson_refresh_breadcrumbs config:block.block.carlson_refresh_commencement config:block.block.carlson_refresh_conferences config:block.block.carlson_refresh_conferences_2 config:block.block.carlson_refresh_content config:block.block.carlson_refresh_coursecomparisontableblock config:block.block.carlson_refresh_ctabach config:block.block.carlson_refresh_ctabusinessanalytics config:block.block.carlson_refresh_ctacorporatediscountprogram config:block.block.carls",https://carlsonschool.ddev.site/graduate?csm219_sql_profile=graduate-landing-page-1778516920023
graduate landing page,/graduate,200,0.936833,0.929517,513,0.124175,0.006247,5675,1655,10,49,0.003864,0.000175,49,49,"SELECT ""cid"", ""data"", ""created"", ""expire"", ""serialized"", ""tags"", ""checksum"" FROM ""cache_entity"" WHERE ""cid"" IN ( '?' ) ORDER BY ""cid"";","SELECT ""cid"", ""data"", ""created"", ""expire"", ""serialized"", ""tags"", ""checksum"" FROM ""cache_entity"" WHERE ""cid"" IN ( 'values:node:114676' ) ORDER BY ""cid"";",https://carlsonschool.ddev.site/graduate?csm219_sql_profile=graduate-landing-page-1778516920023
