mode,label,path,http_code,ttfb_s,total_s,size_download,cache_control,x_drupal_cache,x_drupal_dynamic_cache,x_drupal_cache_max_age,xhprof_run,xhprof_url,xhprof_total_ms,xhprof_mem_mb,xhprof_peak_mem_mb,xhprof_calls,top_exclusive,url,xhprof_file
cache_bust,homepage,/,200,1.856822,1.863147,331869,"max-age=300, public, s-maxage=2628000, stale-if-error=900, stale-while-revalidate=86400",MISS,UNCACHEABLE (poor cacheability),0 (Uncacheable),6a020033ee513,https://umn-d9.ddev.site/xhprof/index.php?run=6a020033ee513&source=ddev,1900.5,81.9,82.3,0,242.1ms PDOStatement::execute; 178.8ms Composer\Autoload\{closure}; 50.1ms Composer\Autoload\{closure}@1; 46ms Drupal\Component\DependencyInjection\Container::get; 33.6ms unserialize,https://carlsonschool.ddev.site/?csm219_profile=cache_bust-homepage-1778516017936,/tmp/xhprof/6a020033ee513.ddev.xhprof
cache_bust,requested executive education courses,/executive-education/courses,200,0.360875,0.366308,340379,"max-age=300, public, s-maxage=2628000, stale-if-error=900, stale-while-revalidate=86400",MISS,HIT,-1 (Permanent),6a020034c5ece,https://umn-d9.ddev.site/xhprof/index.php?run=6a020034c5ece&source=ddev,364.2,50.9,51.2,0,64.4ms PDOStatement::execute; 21.2ms apcu_fetch; 19.8ms Composer\Autoload\{closure}; 12.9ms unserialize; 6.7ms Drupal\Component\DependencyInjection\Container::get,https://carlsonschool.ddev.site/executive-education/courses?csm219_profile=cache_bust-requested-executive-education-courses-1778516020282,/tmp/xhprof/6a020034c5ece.ddev.xhprof
cache_bust,requested full-time mba,/graduate/mba/full-time,200,1.524146,1.532068,428423,"max-age=300, public, s-maxage=2628000, stale-if-error=900, stale-while-revalidate=86400",MISS,UNCACHEABLE (poor cacheability),0 (Uncacheable),6a020036b6309,https://umn-d9.ddev.site/xhprof/index.php?run=6a020036b6309&source=ddev,1504.6,71.4,71.8,0,168ms PDOStatement::execute; 46ms Drupal\Component\DependencyInjection\Container::get; 41.7ms Composer\Autoload\{closure}; 30.9ms apcu_fetch; 21.7ms unserialize,https://carlsonschool.ddev.site/graduate/mba/full-time?csm219_profile=cache_bust-requested-full-time-mba-1778516021058,/tmp/xhprof/6a020036b6309.ddev.xhprof
cache_bust,graduate landing page,/graduate,200,5.953445,5.962487,405657,"max-age=300, public, s-maxage=2628000, stale-if-error=900, stale-while-revalidate=86400",MISS,MISS,-1 (Permanent),6a02003d21d4a,https://umn-d9.ddev.site/xhprof/index.php?run=6a02003d21d4a&source=ddev,5991.5,123.4,124.2,0,1081.8ms PDOStatement::execute; 467.2ms usleep; 170.6ms Drupal\Component\Assertion\Inspector::assertAll; 160.2ms Drupal\Component\DependencyInjection\Container::get; 98.9ms Drupal\Core\Cache\Context\CacheContextsManager::optimizeTokens,https://carlsonschool.ddev.site/graduate?csm219_profile=cache_bust-graduate-landing-page-1778516023006,/tmp/xhprof/6a02003d21d4a.ddev.xhprof
cache_bust,news hub view,/news,200,5.891466,5.896197,311575,"must-revalidate, no-cache, private",UNCACHEABLE (response policy),UNCACHEABLE (poor cacheability),0 (Uncacheable),6a020043775ff,https://umn-d9.ddev.site/xhprof/index.php?run=6a020043775ff&source=ddev,5927.1,134.7,135.5,0,1054.7ms PDOStatement::execute; 572.4ms curl_exec; 486.4ms usleep; 162.1ms Drupal\Component\Assertion\Inspector::assertAll; 127.6ms Drupal\Component\DependencyInjection\Container::get,https://carlsonschool.ddev.site/news?csm219_profile=cache_bust-news-hub-view-1778516029404,/tmp/xhprof/6a020043775ff.ddev.xhprof
cache_bust,faculty directory view,/faculty-research/directory-tenured-tenure-track,200,5.475048,5.481639,322752,"max-age=300, public, s-maxage=2628000, stale-if-error=900, stale-while-revalidate=86400",MISS,MISS,-1 (Permanent),6a02004965da5,https://umn-d9.ddev.site/xhprof/index.php?run=6a02004965da5&source=ddev,5511.8,106.7,107.5,0,1115.4ms PDOStatement::execute; 543.8ms usleep; 166.3ms Drupal\Component\Assertion\Inspector::assertAll; 139ms Drupal\Component\DependencyInjection\Container::get; 97.1ms Drupal\Core\Cache\Context\CacheContextsManager::optimizeTokens,https://carlsonschool.ddev.site/faculty-research/directory-tenured-tenure-track?csm219_profile=cache_bust-faculty-directory-view-1778516035775,/tmp/xhprof/6a02004965da5.ddev.xhprof
cache_bust,alumni events view,/alumni/events,200,5.477250,5.482544,320965,"max-age=300, public, s-maxage=2628000, stale-if-error=900, stale-while-revalidate=86400",MISS,MISS,-1 (Permanent),6a02004f537a4,https://umn-d9.ddev.site/xhprof/index.php?run=6a02004f537a4&source=ddev,5502.8,125.2,126,0,1151.9ms PDOStatement::execute; 476.6ms usleep; 165ms Drupal\Component\Assertion\Inspector::assertAll; 133.1ms Drupal\Component\DependencyInjection\Container::get; 93.5ms Drupal\Core\Cache\Context\CacheContextsManager::optimizeTokens,https://carlsonschool.ddev.site/alumni/events?csm219_profile=cache_bust-alumni-events-view-1778516041695,/tmp/xhprof/6a02004f537a4.ddev.xhprof
cache_bust,executive education landing,/executive-education,200,5.620308,5.625628,320370,"max-age=300, public, s-maxage=2628000, stale-if-error=900, stale-while-revalidate=86400",MISS,MISS,300,6a0200555cdec,https://umn-d9.ddev.site/xhprof/index.php?run=6a0200555cdec&source=ddev,5654.2,96.3,97.1,0,1172.1ms PDOStatement::execute; 481.7ms usleep; 168.4ms Drupal\Component\Assertion\Inspector::assertAll; 139.5ms Drupal\Component\DependencyInjection\Container::get; 95.7ms Drupal\Core\Cache\Context\CacheContextsManager::optimizeTokens,https://carlsonschool.ddev.site/executive-education?csm219_profile=cache_bust-executive-education-landing-1778516047596,/tmp/xhprof/6a0200555cdec.ddev.xhprof
cache_bust,executive ed program node,/executive-education/courses/emerging-leaders-bootcamp,200,5.462353,5.469856,363030,"max-age=300, public, s-maxage=2628000, stale-if-error=900, stale-while-revalidate=86400",MISS,MISS,300,6a02005b43814,https://umn-d9.ddev.site/xhprof/index.php?run=6a02005b43814&source=ddev,5500,94.6,95.5,0,1029.3ms PDOStatement::execute; 493.6ms usleep; 166ms Drupal\Component\Assertion\Inspector::assertAll; 142.6ms Drupal\Component\DependencyInjection\Container::get; 95.2ms Drupal\Core\Cache\Context\CacheContextsManager::optimizeTokens,https://carlsonschool.ddev.site/executive-education/courses/emerging-leaders-bootcamp?csm219_profile=cache_bust-executive-ed-program-node-1778516053641,/tmp/xhprof/6a02005b43814.ddev.xhprof
cache_bust,graduate resource article,/graduate/resources/what-value-mba-or-masters-degree,200,1.278116,1.283998,327874,"max-age=300, public, s-maxage=2628000, stale-if-error=900, stale-while-revalidate=86400",MISS,UNCACHEABLE (poor cacheability),0 (Uncacheable),6a02005d145fa,https://umn-d9.ddev.site/xhprof/index.php?run=6a02005d145fa&source=ddev,1313,97.2,98.1,0,285ms PDOStatement::execute; 33.4ms Drupal\Core\Menu\MenuLinkTree::createInstances@3; 32.9ms unserialize; 32.9ms Drupal\Component\DependencyInjection\Container::get; 21.1ms Composer\Autoload\{closure},https://carlsonschool.ddev.site/graduate/resources/what-value-mba-or-masters-degree?csm219_profile=cache_bust-graduate-resource-article-1778516059623,/tmp/xhprof/6a02005d145fa.ddev.xhprof
cache_bust,about page,/about,200,5.404802,5.409883,325717,"max-age=300, public, s-maxage=2628000, stale-if-error=900, stale-while-revalidate=86400",MISS,MISS,300,6a020062dc43a,https://umn-d9.ddev.site/xhprof/index.php?run=6a020062dc43a&source=ddev,5431.2,84.6,85.5,0,1107.4ms PDOStatement::execute; 485.7ms usleep; 171.2ms Drupal\Component\Assertion\Inspector::assertAll; 141ms Drupal\Component\DependencyInjection\Container::get; 97.5ms Drupal\Core\Cache\Context\CacheContextsManager::optimizeTokens,https://carlsonschool.ddev.site/about?csm219_profile=cache_bust-about-page-1778516061341,/tmp/xhprof/6a020062dc43a.ddev.xhprof
cache_bust,faculty profile node,/faculty/bella-yeolim-yoon,200,0.834085,0.839476,302299,"max-age=300, public, s-maxage=2628000, stale-if-error=900, stale-while-revalidate=86400",MISS,MISS,-1 (Permanent),6a020064224b9,https://umn-d9.ddev.site/xhprof/index.php?run=6a020064224b9&source=ddev,867,68.8,69.7,0,135.1ms PDOStatement::execute; 25.5ms Drupal\Component\DependencyInjection\Container::get; 16.8ms unserialize; 15.8ms apcu_fetch; 14.5ms Drupal\Core\Cache\Cache::mergeContexts,https://carlsonschool.ddev.site/faculty/bella-yeolim-yoon?csm219_profile=cache_bust-faculty-profile-node-1778516067152,/tmp/xhprof/6a020064224b9.ddev.xhprof
