title,uri,text,html
"Accounting Empirical Conference Schedule",https://carlsonschool.umn.edu/departments/accounting/events/empirical-conference/schedule,,"<p style=""font-family:'Open Sans', sans-serif;font-size:2em;"">Friday, April 25, 2025&nbsp;</p>"
"Accounting Empirical Conference Schedule",https://carlsonschool.umn.edu/departments/accounting/events/empirical-conference/schedule,,"<p style=""font-family:'Open Sans', sans-serif;font-size:2em;"">Saturday, April 26, 2025</p>"
"Continued Service | Carlson School of Management",https://carlsonschool.umn.edu/news/continued-service,,"<p style=""font-size:2.8em;"">Mahmood Zaidi</p>"
"Continued Service | Carlson School of Management",https://carlsonschool.umn.edu/news/continued-service,,"<p style=""font-size:2.8em;"">Gordon Davis</p>"
"H.B. Fuller Gift Powers International Experience",https://carlsonschool.umn.edu/news/hb-fuller-gift-powers-international-experience,,"<p>There's a huge value in creating global citizens.</p>"
"7 Carlson School Alumni Named among The (Real) Power 50 of 2016",https://carlsonschool.umn.edu/news/7-carlson-school-alumni-named-among-the-real-power-50-2016,,"<p style=""font-size:2.8rem;"">Nina Hale, '99 MBA</p>"
"7 Carlson School Alumni Named among The (Real) Power 50 of 2016",https://carlsonschool.umn.edu/news/7-carlson-school-alumni-named-among-the-real-power-50-2016,,"<p style=""font-size:2.8rem;"">Judy Lysne, 91 MBA</p>"
"7 Carlson School Alumni Named among The (Real) Power 50 of 2016",https://carlsonschool.umn.edu/news/7-carlson-school-alumni-named-among-the-real-power-50-2016,,"<p style=""font-size:2.8rem;"">Joy McBrien, '11 BSB</p>"
"7 Carlson School Alumni Named among The (Real) Power 50 of 2016",https://carlsonschool.umn.edu/news/7-carlson-school-alumni-named-among-the-real-power-50-2016,,"<p style=""font-size:2.8rem;"">Justin Porter, '05 BSB &amp; '11 MBA</p>"
"7 Carlson School Alumni Named among The (Real) Power 50 of 2016",https://carlsonschool.umn.edu/news/7-carlson-school-alumni-named-among-the-real-power-50-2016,,"<p style=""font-size:2.8rem;"">Brendon Schrader, '01 MBA</p>"
"7 Carlson School Alumni Named among The (Real) Power 50 of 2016",https://carlsonschool.umn.edu/news/7-carlson-school-alumni-named-among-the-real-power-50-2016,,"<p style=""font-size:2.8rem;"">Not pictured:&nbsp;</p>"
